commonName,featureImageURL,scientificName,category,subCategory,familyName,aboutText,minSizeMeters,maxSizeMeters,minDepthMeters,maxDepthMeters,distinctiveFeatures,Abundance,habitatBehavior,diverReaction
Queen Angelfish,,Holacanthus ciliaris,Fish,Disk and Large Oval,Angelfishes,"has a broad, flattened, oval-shaped body with triangular tail fin, a reduced, dulled snout and a small mouth containing bristle-like teeth. The dorsal fin contains 14 spines and 19–21 soft rays, and the anal fin has 3 spines and 20–21 soft rays. The dorsal and anal fins both dangle behind the body. This species attains a maximum total length of 45 cm (18 in) and weight of 1,600 g (56 oz). Males may be larger than females.",0.2,0.36,6,25,Blue with yellow rims on scales.,"Common in Florida, Bahamas,Gulf of Mexico, Bermuda.","Swim slowly in the vicinity of sea whips, sea fans, and corals.","Wary, tend to keep their distance."
Blue Angelfish,,,,,,,,,,,,,,
Townsend Angelfish,,,,,,,,,,,,,,
French Angelfish,,,,,,,,,,,,,,
Gray Angelfish,,Pomacanthus arcuatus,Fish,Disk and Large Oval,Angelfishes,"Large gray disk-shaped angelfish with bright yellow pectoral fins and a yellow tail margin; common on Caribbean reef slopes.",0.25,0.55,3,30,Gray body with yellow pectoral fins and tail edge.,"Common on Caribbean and Florida reef slopes.","Often alone or in pairs over sponge and coral on mid-depth reefs.","Keeps distance; slow approaches for photos."
Rock Beauty,,,,,,,,,,,,,,
Cherubfish,,,,,,,,,,,,,,
Flameback Angelfish,,,,,,,,,,,,,,
